year,certified Price (Rs/kg)
1977,1.91
1980,2.39
1981,2.51
1981,2.75
1983,2.99
1985,3.35
1988,3.83
1990,5.26
1991,6.5
1993,7.42
1994,7.42
1995,7.42
1996,7.42
1997,7.42
1998,7.42
1999,7.42
2000,
2001,12.50-13.50
2002,13.50-14.50
2003,13.50-14.50
2004,14.50-15.50
2005,15.50-16.50
2006,15.50-16.50
2007,16.50-17.50
2008 maha Season,20.00-22.00
2008 yala season,28.00-30.00
2009,28.00-30.00,,,
2010,28.00-30.00,,,
2011,28.00-30.00,,,
2012,28.00-30.00,,,
2013,32.00-35.00,,,
2014,32.00-35.00,,,
2015,38.00-41.00,,,
2015-2018,38.00-41.00,,,
2019-2022,50,,,
